1,100,1
2,100,1
1,110,1
3,110,1
2,113,1
6,111,1
8,108,1
8,97,1
10,106,1
11,100,1
13,100,1
12,98,1
11,87,1
13,100,1
14,100,1
15,99,1
15,104,1
20,99,1
21,96,1
20,88,1
20,82,1
24,77,1
23,80,1
27,80,1
28,76,1
30,80,1
33,70,1
32,77,1
36,60,1
40,68,1
45,55,1
48,50,1
50,60,1
60,58,1
62,50,1
64,51,1
70,40,1
73,32,1
76,37,1
80,34,1
84,33,1
89,20,1
88,10,1
100,2,1
113,1,1
115,2,1
117,1,1

1,120,0
2,124,0
1,129,0
3,120,0
2,123,0
6,121,0
8,118,0
8,130,0
10,116,0
11,110,0
13,112,0
12,118,0
11,110,0
13,110,0
14,102,0
15,110,0
15,108,0
20,103,0
21,106,0
20,110,0
20,112,0
24,102,0
23,100,0
27,103,0
28,97,0
30,99,0
33,93,0
32,90,0
36,95,0
40,83,0
45,80,0
48,83,0
50,76,0
60,64,0
62,68,0
64,66,0
70,51,0
73,51,0
76,52,0
80,41,0
84,44,0
89,39,0
88,33,0
100,23,0
113,21,0
115,8,0
117,9,0
